Code insee;Bénéficiaires;Communes;Projets;Détails;Coût ;"Subvention DSIL ""classique""";Subvention DSIL exceptionnelle;latitude;longitude
200070936;EPCI;CC Ponthieu Marqueterre;Transition écologique;rénovation thermique de l’école Hautvillers;7 468,00 €;3 801,00 €;50,90%;50.26659825825095;1.6667757740101459
28303;Communes;Poupry;Préservation du patrimoine;Rénovation de la sacristie;7 508,00 €;3 800,00 €;50,61%;48.0970492;1.8381072
8167;Communes;LA FEREE;Transition écologique;Remplacement des menuiseries de la salle polyvalente;7 520,00 €;3 760,00 €;50,00%;49.763027;4.302068
80351;Communes;Frechencourt;Transition écologique;rénovation énergétique du logement communal;7 600,00 €;3 040,00 €;40,00%;49.967591;2.442017
39434;Communes;Poligny;Transition écologique;Réalisation d'un cheminement piéton route de Dole;7 639,20 €;2 291,76 €;30,00%;46.8403644;5.702182
80664;Communes;Rancourt;Transition écologique;rénovation thermique de la mairie;7 667,14 €;6 133,71 €;80,00%;50.003905;2.907534
97110;Communes;Désirade;Résilience Sanitaire;appel à projet covid -protocole rentrée 2020;7 734,30 €;6 187,00 €;79,99%;16.306032;-61.063181
12550;Communes;Plaisance;Préservation du patrimoine;remise en état du court de tennis;7 908,00 €;3 164,00 €;40,01%;43.927104;2.548575
8432;Communes;SURY;Transition écologique;Remplacement de convecteurs électriques dans la mairie et l’église, par des radiateurs;7 993,00 €;3 997,00 €;50,01%;49.765448;4.609256
57216;Communes;Fleisheim;Transition écologique;acquisition d'un véhicule électrique communal;8 000,00 €;3 200,00 €;40,00%;48.789339;7.164109
42106;Communes;GREZOLLES;Transition écologique;Installation d’une pompe à chaleur dans le bar communal;8 046,56 €;1 609,31 €;20,00%;45.862858;3.950353
21674;Communes;Veuxhaulles-sur-Aube;Transition écologique;Travaux de rénovation dans une école;8 115,00 €;6 490,00 €;79,98%;47.942869;4.802715
80234;Communes;Daours;Transition écologique;rénovation énergétique de l’école;8 184,00 €;6 547,20 €;80,00%;49.901486;2.448454
59566;Communes;SEQUEDIN;Hors thématiques DSIL relance;Remplacement des portes de secours  du tennis couvert;8 300,00 €;3 320,00 €;40,00%;50.625369;2.985266
35015;Communes;BALAZE;Préservation du patrimoine;Mise en conformité de l’installation de protection foudre de l’église;8 315,00 €;6 652,00 €;80,00%;48.173958;-1.183574
